timestamp,supi,state_desc,duration_minutes
2025-01-17 12:01:37,imsi-208930000000004,active,20.0
2025-01-17 12:21:37,imsi-208930000000004,inactive,15.0
2025-01-17 12:36:37,imsi-208930000000001,active,115.0
2025-01-17 12:36:37,imsi-208930000000003,active,70.0
2025-01-17 12:36:37,imsi-208930000000002,active,270.0
2025-01-17 12:36:37,imsi-208930000000004,active,
2025-01-17 13:46:37,imsi-208930000000003,inactive,25.0
2025-01-17 14:11:37,imsi-208930000000003,active,60.0
2025-01-17 14:31:37,imsi-208930000000001,inactive,25.0
2025-01-17 14:56:37,imsi-208930000000001,active,65.0
2025-01-17 15:11:37,imsi-208930000000003,inactive,30.0
2025-01-17 15:41:37,imsi-208930000000003,active,105.0
2025-01-17 16:01:37,imsi-208930000000001,inactive,35.0
2025-01-17 16:36:37,imsi-208930000000001,active,105.0
2025-01-17 17:06:37,imsi-208930000000002,inactive,30.0
2025-01-17 17:26:37,imsi-208930000000003,inactive,30.0
2025-01-17 17:36:37,imsi-208930000000002,active,90.0
2025-01-17 17:56:37,imsi-208930000000003,active,70.0
2025-01-17 18:21:37,imsi-208930000000001,inactive,30.0
2025-01-17 18:51:37,imsi-208930000000001,active,110.0
2025-01-17 19:06:37,imsi-208930000000002,inactive,35.0
2025-01-17 19:06:37,imsi-208930000000003,inactive,25.0
2025-01-17 19:31:37,imsi-208930000000003,active,65.0
2025-01-17 19:41:37,imsi-208930000000002,active,75.0
2025-01-17 20:36:37,imsi-208930000000003,inactive,25.0
2025-01-17 20:41:37,imsi-208930000000001,inactive,30.0
2025-01-17 20:56:37,imsi-208930000000002,inactive,30.0
2025-01-17 21:01:37,imsi-208930000000003,active,95.0
2025-01-17 21:11:37,imsi-208930000000001,active,65.0
2025-01-17 21:26:37,imsi-208930000000002,active,70.0
2025-01-17 22:16:37,imsi-208930000000001,inactive,25.0
2025-01-17 22:36:37,imsi-208930000000003,inactive,30.0
2025-01-17 22:36:37,imsi-208930000000002,inactive,25.0
2025-01-17 22:41:37,imsi-208930000000001,active,75.0
2025-01-17 23:01:37,imsi-208930000000002,active,65.0
2025-01-17 23:06:37,imsi-208930000000003,active,245.0
2025-01-17 23:56:37,imsi-208930000000001,inactive,30.0
2025-01-18 00:06:37,imsi-208930000000002,inactive,30.0
2025-01-18 00:26:37,imsi-208930000000001,active,60.0
2025-01-18 00:36:37,imsi-208930000000002,active,110.0
2025-01-18 01:26:37,imsi-208930000000001,inactive,30.0
2025-01-18 01:56:37,imsi-208930000000001,active,90.0
2025-01-18 02:26:37,imsi-208930000000002,inactive,30.0
2025-01-18 02:56:37,imsi-208930000000002,active,110.0
2025-01-18 03:11:37,imsi-208930000000003,inactive,30.0
2025-01-18 03:26:37,imsi-208930000000001,inactive,25.0
2025-01-18 03:41:37,imsi-208930000000003,active,65.0
2025-01-18 03:51:37,imsi-208930000000001,active,60.0
2025-01-18 04:46:37,imsi-208930000000003,inactive,30.0
2025-01-18 04:46:37,imsi-208930000000002,inactive,30.0
2025-01-18 04:51:37,imsi-208930000000001,inactive,25.0
2025-01-18 05:16:37,imsi-208930000000002,active,70.0
2025-01-18 05:16:37,imsi-208930000000003,active,120.0
2025-01-18 05:16:37,imsi-208930000000001,active,70.0
2025-01-18 06:26:37,imsi-208930000000002,inactive,30.0
2025-01-18 06:26:37,imsi-208930000000001,inactive,30.0
2025-01-18 06:56:37,imsi-208930000000001,active,75.0
2025-01-18 06:56:37,imsi-208930000000002,active,75.0
2025-01-18 07:16:37,imsi-208930000000003,inactive,25.0
2025-01-18 07:41:37,imsi-208930000000003,active,75.0
2025-01-18 08:11:37,imsi-208930000000002,inactive,30.0
2025-01-18 08:11:37,imsi-208930000000001,inactive,30.0
2025-01-18 08:41:37,imsi-208930000000001,active,75.0
2025-01-18 08:41:37,imsi-208930000000002,active,105.0
2025-01-18 08:56:37,imsi-208930000000003,inactive,30.0
2025-01-18 09:26:37,imsi-208930000000003,active,70.0
2025-01-18 09:56:37,imsi-208930000000001,inactive,30.0
2025-01-18 10:26:37,imsi-208930000000002,inactive,30.0
2025-01-18 10:26:37,imsi-208930000000001,active,70.0
2025-01-18 10:36:37,imsi-208930000000003,inactive,30.0
2025-01-18 10:56:37,imsi-208930000000002,active,95.0
2025-01-18 11:06:37,imsi-208930000000003,active,85.0
2025-01-18 11:36:37,imsi-208930000000001,inactive,30.0
2025-01-18 12:06:37,imsi-208930000000001,active,105.0
2025-01-18 12:31:37,imsi-208930000000002,inactive,30.0
2025-01-18 12:31:37,imsi-208930000000003,inactive,25.0
2025-01-18 12:56:37,imsi-208930000000003,active,65.0
2025-01-18 13:01:37,imsi-208930000000002,active,80.0
2025-01-18 13:51:37,imsi-208930000000001,inactive,30.0
2025-01-18 14:01:37,imsi-208930000000003,inactive,25.0
2025-01-18 14:21:37,imsi-208930000000001,active,115.0
2025-01-18 14:21:37,imsi-208930000000002,inactive,25.0
2025-01-18 14:26:37,imsi-208930000000003,active,80.0
2025-01-18 14:46:37,imsi-208930000000002,active,70.0
2025-01-18 15:46:37,imsi-208930000000003,inactive,35.0
2025-01-18 15:56:37,imsi-208930000000002,inactive,25.0
2025-01-18 16:16:37,imsi-208930000000001,inactive,30.0
2025-01-18 16:21:37,imsi-208930000000003,active,85.0
2025-01-18 16:21:37,imsi-208930000000002,active,115.0
2025-01-18 16:46:37,imsi-208930000000001,active,115.0
2025-01-18 17:46:37,imsi-208930000000003,inactive,25.0
2025-01-18 18:11:37,imsi-208930000000003,active,110.0
2025-01-18 18:16:37,imsi-208930000000002,inactive,35.0
2025-01-18 18:41:37,imsi-208930000000001,inactive,35.0
2025-01-18 18:51:37,imsi-208930000000002,active,95.0
2025-01-18 19:16:37,imsi-208930000000001,active,115.0
2025-01-18 20:01:37,imsi-208930000000003,inactive,25.0
2025-01-18 20:26:37,imsi-208930000000002,inactive,30.0
2025-01-18 20:26:37,imsi-208930000000003,active,70.0
2025-01-18 20:56:37,imsi-208930000000002,active,75.0
2025-01-18 21:11:37,imsi-208930000000001,inactive,35.0
2025-01-18 21:36:37,imsi-208930000000003,inactive,25.0
2025-01-18 21:46:37,imsi-208930000000001,active,110.0
2025-01-18 22:01:37,imsi-208930000000003,active,110.0
2025-01-18 22:11:37,imsi-208930000000002,inactive,30.0
2025-01-18 22:41:37,imsi-208930000000002,active,125.0
2025-01-18 23:36:37,imsi-208930000000001,inactive,30.0
2025-01-18 23:51:37,imsi-208930000000003,inactive,30.0
2025-01-19 00:06:37,imsi-208930000000001,active,125.0
2025-01-19 00:21:37,imsi-208930000000003,active,130.0
2025-01-19 00:46:37,imsi-208930000000002,inactive,30.0
2025-01-19 01:16:37,imsi-208930000000002,active,100.0
2025-01-19 02:11:37,imsi-208930000000001,inactive,30.0
2025-01-19 02:31:37,imsi-208930000000003,inactive,30.0
2025-01-19 02:41:37,imsi-208930000000001,active,65.0
2025-01-19 02:56:37,imsi-208930000000002,inactive,25.0
2025-01-19 03:01:37,imsi-208930000000003,active,90.0
2025-01-19 03:21:37,imsi-208930000000002,active,80.0
2025-01-19 03:46:37,imsi-208930000000001,inactive,30.0
2025-01-19 04:16:37,imsi-208930000000001,active,85.0
2025-01-19 04:31:37,imsi-208930000000003,inactive,25.0
2025-01-19 04:41:37,imsi-208930000000002,inactive,25.0
2025-01-19 04:56:37,imsi-208930000000003,active,65.0
2025-01-19 05:06:37,imsi-208930000000002,active,75.0
2025-01-19 05:41:37,imsi-208930000000001,inactive,25.0
2025-01-19 06:01:37,imsi-208930000000003,inactive,30.0
2025-01-19 06:06:37,imsi-208930000000001,active,80.0
2025-01-19 06:21:37,imsi-208930000000002,inactive,25.0
2025-01-19 06:31:37,imsi-208930000000003,active,120.0
2025-01-19 06:46:37,imsi-208930000000002,active,110.0
2025-01-19 07:26:37,imsi-208930000000001,inactive,35.0
2025-01-19 08:01:37,imsi-208930000000001,active,120.0
2025-01-19 08:31:37,imsi-208930000000003,inactive,30.0
2025-01-19 08:36:37,imsi-208930000000002,inactive,30.0
2025-01-19 09:01:37,imsi-208930000000003,active,80.0
2025-01-19 09:06:37,imsi-208930000000002,active,130.0
2025-01-19 10:01:37,imsi-208930000000001,inactive,30.0
2025-01-19 10:21:37,imsi-208930000000003,inactive,30.0
2025-01-19 10:31:37,imsi-208930000000001,active,75.0
2025-01-19 10:51:37,imsi-208930000000003,active,75.0
2025-01-19 11:16:37,imsi-208930000000002,inactive,25.0
2025-01-19 11:41:37,imsi-208930000000002,active,120.0
2025-01-19 11:46:37,imsi-208930000000001,inactive,30.0
2025-01-19 12:06:37,imsi-208930000000003,inactive,25.0
2025-01-19 12:16:37,imsi-208930000000001,active,60.0
2025-01-19 12:31:37,imsi-208930000000003,active,95.0
2025-01-19 13:16:37,imsi-208930000000001,inactive,30.0
2025-01-19 13:41:37,imsi-208930000000002,inactive,25.0
2025-01-19 13:46:37,imsi-208930000000001,active,90.0
2025-01-19 14:06:37,imsi-208930000000003,inactive,30.0
2025-01-19 14:06:37,imsi-208930000000002,active,120.0
2025-01-19 14:36:37,imsi-208930000000003,active,100.0
2025-01-19 15:16:37,imsi-208930000000001,inactive,30.0
2025-01-19 15:46:37,imsi-208930000000001,active,75.0
2025-01-19 16:06:37,imsi-208930000000002,inactive,35.0
2025-01-19 16:16:37,imsi-208930000000003,inactive,30.0
2025-01-19 16:41:37,imsi-208930000000002,active,115.0
2025-01-19 16:46:37,imsi-208930000000003,active,125.0
2025-01-19 17:01:37,imsi-208930000000001,inactive,25.0
2025-01-19 17:26:37,imsi-208930000000001,active,250.0
2025-01-19 18:36:37,imsi-208930000000002,inactive,30.0
2025-01-19 18:51:37,imsi-208930000000003,inactive,25.0
2025-01-19 19:06:37,imsi-208930000000002,active,70.0
2025-01-19 19:16:37,imsi-208930000000003,active,80.0
2025-01-19 20:16:37,imsi-208930000000002,inactive,30.0
2025-01-19 20:36:37,imsi-208930000000003,inactive,30.0
2025-01-19 20:46:37,imsi-208930000000002,active,120.0
2025-01-19 21:06:37,imsi-208930000000003,active,125.0
2025-01-19 21:36:37,imsi-208930000000001,inactive,30.0
2025-01-19 22:06:37,imsi-208930000000001,active,125.0
2025-01-19 22:46:37,imsi-208930000000002,inactive,30.0
2025-01-19 23:11:37,imsi-208930000000003,inactive,30.0
2025-01-19 23:16:37,imsi-208930000000002,active,70.0
2025-01-19 23:41:37,imsi-208930000000003,active,95.0
2025-01-20 00:11:37,imsi-208930000000001,inactive,30.0
2025-01-20 00:26:37,imsi-208930000000002,inactive,30.0
2025-01-20 00:41:37,imsi-208930000000001,active,75.0
2025-01-20 00:56:37,imsi-208930000000002,active,110.0
