timestamp,active_UEs,duration
2025-02-21 12:10:45,1,0 days 00:10:00
2025-02-21 12:20:45,4,0 days 00:50:00
2025-02-21 13:10:45,2,0 days 00:10:00
2025-02-21 13:20:45,3,0 days 00:30:00
2025-02-21 13:50:45,4,0 days 00:20:00
2025-02-21 14:10:45,3,0 days 00:30:00
2025-02-21 14:40:45,2,0 days 00:10:00
2025-02-21 14:50:45,1,0 days 00:10:00
2025-02-21 15:00:45,3,0 days 01:00:00
2025-02-21 16:00:45,4,0 days 00:10:00
2025-02-21 16:10:45,3,0 days 00:40:00
2025-02-21 16:50:45,4,0 days 00:40:00
2025-02-21 17:30:45,3,0 days 00:20:00
2025-02-21 17:50:45,4,0 days 00:30:00
2025-02-21 18:20:45,3,0 days 00:30:00
2025-02-21 18:50:45,2,0 days 00:20:00
2025-02-21 19:10:45,3,0 days 00:40:00
2025-02-21 19:50:45,4,0 days 00:20:00
2025-02-21 20:10:45,3,0 days 00:40:00
2025-02-21 20:50:45,4,0 days 00:30:00
2025-02-21 21:20:45,3,0 days 00:40:00
2025-02-21 22:00:45,2,0 days 00:10:00
2025-02-21 22:10:45,3,0 days 00:20:00
2025-02-21 22:30:45,4,0 days 00:40:00
2025-02-21 23:10:45,3,0 days 00:30:00
2025-02-21 23:40:45,4,0 days 00:50:00
2025-02-22 00:30:45,3,0 days 00:10:00
2025-02-22 00:40:45,2,0 days 00:10:00
2025-02-22 00:50:45,3,0 days 00:30:00
2025-02-22 01:20:45,4,0 days 00:30:00
2025-02-22 01:50:45,3,0 days 00:40:00
2025-02-22 02:30:45,2,0 days 00:30:00
2025-02-22 03:00:45,3,0 days 01:20:00
2025-02-22 04:20:45,4,0 days 01:10:00
2025-02-22 05:30:45,3,0 days 00:10:00
2025-02-22 05:40:45,2,0 days 00:20:00
2025-02-22 06:00:45,3,0 days 00:40:00
2025-02-22 06:40:45,2,0 days 00:10:00
2025-02-22 06:50:45,3,0 days 00:10:00
2025-02-22 07:00:45,4,0 days 01:20:00
2025-02-22 08:20:45,3,0 days 00:10:00
2025-02-22 08:30:45,2,0 days 00:10:00
2025-02-22 08:40:45,4,0 days 00:50:00
2025-02-22 09:30:45,3,0 days 00:30:00
2025-02-22 10:00:45,2,0 days 00:20:00
2025-02-22 10:20:45,3,0 days 00:40:00
2025-02-22 11:00:45,4,0 days 00:10:00
2025-02-22 11:10:45,3,0 days 00:40:00
2025-02-22 11:50:45,2,0 days 00:30:00
2025-02-22 12:20:45,3,0 days 00:20:00
2025-02-22 12:40:45,4,0 days 01:20:00
2025-02-22 14:00:45,3,0 days 00:10:00
2025-02-22 14:10:45,2,0 days 00:10:00
2025-02-22 14:20:45,3,0 days 00:30:00
2025-02-22 14:50:45,2,0 days 00:10:00
2025-02-22 15:00:45,3,0 days 00:40:00
2025-02-22 15:40:45,4,0 days 01:00:00
2025-02-22 16:40:45,3,0 days 00:30:00
2025-02-22 17:10:45,2,0 days 00:10:00
2025-02-22 17:20:45,1,0 days 00:10:00
2025-02-22 17:30:45,2,0 days 00:30:00
2025-02-22 18:00:45,3,0 days 00:10:00
2025-02-22 18:10:45,4,0 days 00:30:00
2025-02-22 18:40:45,3,0 days 00:20:00
2025-02-22 19:00:45,2,0 days 00:20:00
2025-02-22 19:20:45,3,0 days 00:40:00
2025-02-22 20:00:45,4,0 days 00:20:00
2025-02-22 20:20:45,3,0 days 00:20:00
2025-02-22 20:40:45,2,0 days 00:30:00
2025-02-22 21:10:45,3,0 days 00:10:00
2025-02-22 21:20:45,4,0 days 00:20:00
2025-02-22 21:40:45,3,0 days 00:40:00
2025-02-22 22:20:45,4,0 days 00:40:00
2025-02-22 23:00:45,3,0 days 00:10:00
2025-02-22 23:10:45,2,0 days 00:30:00
2025-02-22 23:40:45,3,0 days 00:10:00
2025-02-22 23:50:45,4,0 days 00:30:00
2025-02-23 00:20:45,3,0 days 00:40:00
2025-02-23 01:00:45,2,0 days 00:10:00
2025-02-23 01:10:45,3,0 days 00:30:00
2025-02-23 01:40:45,4,0 days 00:20:00
2025-02-23 02:00:45,3,0 days 00:50:00
2025-02-23 02:50:45,4,0 days 00:20:00
2025-02-23 03:10:45,3,0 days 01:00:00
2025-02-23 04:10:45,4,0 days 00:30:00
2025-02-23 04:40:45,3,0 days 00:10:00
2025-02-23 04:50:45,2,0 days 00:10:00
2025-02-23 05:00:45,4,0 days 00:40:00
2025-02-23 05:40:45,3,0 days 00:20:00
2025-02-23 06:00:45,4,0 days 00:20:00
2025-02-23 06:20:45,3,0 days 00:20:00
2025-02-23 06:40:45,2,0 days 00:20:00
2025-02-23 07:00:45,3,0 days 00:20:00
2025-02-23 07:20:45,4,0 days 00:20:00
2025-02-23 07:40:45,3,0 days 00:20:00
2025-02-23 08:00:45,4,0 days 00:10:00
2025-02-23 08:10:45,3,0 days 00:10:00
2025-02-23 08:20:45,4,0 days 00:20:00
2025-02-23 08:40:45,3,0 days 00:30:00
2025-02-23 09:10:45,2,0 days 00:10:00
2025-02-23 09:20:45,3,0 days 00:10:00
